Metro,Nodes,Links,CB Min,CB Max,CB Ave,CB Sum,|an|,|ao|
Athens,9,9,7,15,5.33,48,0.03125,1.5
Brussels,9,9,7,19,5.11,46,0.03261,1.5
Lyon,10,10,11,18,5.8,58,0.03017,1.75
Montreal,10,10,11,18,5.8,58,0.01742,1.75
Toronto,10,9,8,26,8.2,82,0.03017,1.43
Bucharest,11,12,6,19,6.82,75,0.01643,1.23
Lisbon,11,11,13.5,21.5,6.82,75,0.02167,1.63
Singapore,12,13,10,26,8.92,107,0.01335,1.43
Buenos Aires,12,13,17.5,34,7.33,88,0.00426,0.38
Milan,14,15,23,39,12.36,173,0.00888,1.54
St Petersburg,14,16,22.5,25,9.93,139,0.00058,0.08
Hong-Kong,17,18,15,71,18.94,322,0.01046,3.37
Washington DC,17,18,19,71,16.94,288,0.00544,1.57
Stockholm,20,19,35,113,28.6,572,0.0092,5.27
Boston,21,22,37,102,25.62,538,0.00592,3.18
Shanghai,22,28,13.83,93.22,21.82,480,0.00441,2.12
Chicago,25,57,23,221,63.92,1598,0.00397,6.34
Barcelona,29,42,9.12,163.07,35.45,1028,0.00218,2.25
Berlin,32,43,22.1,110.4,40.97,1311,0.00166,2.17
Mexico City,35,52,12.42,129.22,44.2,1547,0.00111,2.06
Osaka,36,51,13.25,153,50.25,1809,0.00133,2.01
Moscow,41,62,25.52,177.26,54.1,2218,0.00106,2.36
Madrid,48,79,2.03,265.19,72.77,3493,0.00062,2.18
Tokyo,62,107,9.5,452.55,98.56,6111,0.00045,2.76
Seoul,71,111,21.41,467.57,144.1,10231,0.00034,3.5
New York City,77,109,10.74,683.15,162.45,12509,0.00036,4.46
Paris,78,125,40.07,630.73,152.5,11895,0.00025,3.02
London,83,121,7.69,1240.29,185.84,15425,0.0003,4.59
