,num_buildings,num_destinations,trace_strength,agents_vision_angle,agent_vision_samples,Run,Avg_raster_value
0,54,6,52,61.640625,6,0.0,151.2966986363933
1,98,6,52,61.640625,6,1.0,130.18901449101077
2,54,6,52,61.640625,6,2.0,130.18901449101077
3,54,6,85,61.640625,6,3.0,130.18901449101077
4,54,6,52,46.171875,6,4.0,130.18901449101077
5,54,6,52,61.640625,4,5.0,130.18901449101077
6,54,6,85,46.171875,4,6.0,130.18901449101077
7,98,6,85,46.171875,4,7.0,220.8693809148265
8,98,6,52,46.171875,4,8.0,120.82492772245422
9,98,6,85,61.640625,4,9.0,218.81005133747635
10,98,6,85,46.171875,6,10.0,230.67339385300224
11,98,6,85,46.171875,4,11.0,215.86552549503156
12,79,9,97,20.390625,12,12.0,215.86552549503156
13,73,9,97,20.390625,12,13.0,215.86552549503156
14,79,3,97,20.390625,12,14.0,215.86552549503156
15,79,9,40,20.390625,12,15.0,215.86552549503156
16,79,9,97,87.421875,12,16.0,120.82492772245422
17,79,9,97,20.390625,10,17.0,120.82492772245422
18,79,3,40,87.421875,10,18.0,218.81005133747635
19,73,9,40,87.421875,10,19.0,218.81005133747635
20,73,3,97,87.421875,10,20.0,230.67339385300224
21,73,3,40,20.390625,10,21.0,230.67339385300224
22,73,3,40,87.421875,12,22.0,215.86552549503156
23,73,3,40,87.421875,10,23.0,215.86552549503156
24,92,4,29,82.265625,9,24.0,130.18901449101077
25,60,4,29,82.265625,9,25.0,220.8693809148265
26,92,8,29,82.265625,9,26.0,130.18901449101077
27,92,4,18,82.265625,9,27.0,130.18901449101077
28,92,4,29,66.796875,9,28.0,130.18901449101077
29,92,4,29,82.265625,13,29.0,130.18901449101077
30,92,8,18,66.796875,13,30.0,130.18901449101077
31,60,4,18,66.796875,13,31.0,120.82492772245422
32,60,8,29,66.796875,13,32.0,218.81005133747635
33,60,8,18,82.265625,13,33.0,230.67339385300224
34,60,8,18,66.796875,9,34.0,215.86552549503156
35,60,8,18,66.796875,13,35.0,230.67339385300224
36,67,8,74,41.015625,3,36.0,215.86552549503156
37,85,8,74,41.015625,3,37.0,215.86552549503156
38,67,4,74,41.015625,3,38.0,130.18901449101077
39,67,8,63,41.015625,3,39.0,130.18901449101077
40,67,8,74,25.546875,3,40.0,130.18901449101077
41,67,8,74,41.015625,7,41.0,130.18901449101077
42,67,4,63,25.546875,7,42.0,130.18901449101077
43,85,8,63,25.546875,7,43.0,215.86552549503156
44,85,4,74,25.546875,7,44.0,215.86552549503156
45,85,4,63,41.015625,7,45.0,215.86552549503156
46,85,4,63,25.546875,3,46.0,130.18901449101077
47,85,4,63,25.546875,7,47.0,130.18901449101077
48,73,3,85,30.703125,4,48.0,230.67339385300224
49,92,3,85,30.703125,4,49.0,130.18901449101077
50,73,9,85,30.703125,4,50.0,230.67339385300224
51,73,3,29,30.703125,4,51.0,230.67339385300224
52,73,3,85,56.484375,4,52.0,215.86552549503156
53,73,3,85,30.703125,9,53.0,218.81005133747635
54,73,9,29,56.484375,9,54.0,230.67339385300224
55,92,3,29,56.484375,9,55.0,130.18901449101077
56,92,9,85,56.484375,9,56.0,130.18901449101077
57,92,9,29,30.703125,9,57.0,130.18901449101077
58,92,9,29,56.484375,4,58.0,130.18901449101077
59,92,9,29,56.484375,9,59.0,130.18901449101077
60,98,7,40,71.953125,10,60.0,86.64482443545229
61,67,7,40,71.953125,10,61.0,120.82492772245422
62,98,5,40,71.953125,10,62.0,81.78679678912833
63,98,7,74,71.953125,10,63.0,191.35556307243962
64,98,7,40,15.234375,10,64.0,88.06330890912827
65,98,7,40,71.953125,3,65.0,84.69701774509143
66,98,5,74,15.234375,3,66.0,213.45673762833243
67,67,7,74,15.234375,3,67.0,120.82492772245422
68,67,5,40,15.234375,3,68.0,218.81005133747635
69,67,5,74,71.953125,3,69.0,120.82492772245422
70,67,5,74,15.234375,10,70.0,81.78679678912833
71,67,5,74,15.234375,3,71.0,230.67339385300224
72,85,5,63,10.078125,13,72.0,191.35556307243962
73,54,5,63,10.078125,13,73.0,88.06330890912827
74,85,7,63,10.078125,13,74.0,86.64482443545229
75,85,5,97,10.078125,13,75.0,191.35556307243962
76,85,5,63,35.859375,13,76.0,88.06330890912827
77,85,5,63,10.078125,6,77.0,81.78679678912833
78,85,7,97,35.859375,6,78.0,191.35556307243962
79,54,5,97,35.859375,6,79.0,230.67339385300224
80,54,7,63,35.859375,6,80.0,213.45673762833243
81,54,7,97,10.078125,6,81.0,230.67339385300224
82,54,7,97,35.859375,13,82.0,220.8693809148265
83,54,7,97,35.859375,6,83.0,220.8693809148265
